Año,Trimestre,Provincia,Accesos TV por suscripción
2021,1,La Pampa,80.094
2021,1,La Rioja,19.675
2021,1,Mendoza,106.177
2021,1,Misiones,138.117
2021,1,Neuquén,78.320
2021,1,Río Negro,110.693
2021,1,Salta,203.905
2021,1,San Juan,33.922
2021,1,San Luis,45.583
2021,1,Santa Cruz,44.241
2021,1,Santa Fe,686.902
2021,1,Santiago Del Estero,159.550
2021,1,Tierra Del Fuego,42.034
2021,1,Tucumán,110.506
2020,4,Buenos Aires,2.973.620
2020,4,Capital Federal,757.638
2020,4,Catamarca,42.098
2020,4,Chaco,118.021
2020,4,Chubut,73.236
2020,4,Córdoba,1.073.026
2020,4,Corrientes,111.852
2020,4,Entre Ríos,216.322
2020,4,Formosa,59.584
2020,4,Jujuy,109.703
2020,4,La Pampa,79.521
2020,4,La Rioja,23.695
2020,4,Mendoza,106.491
2020,4,Misiones,138.446
2020,4,Neuquén,79.485
2020,4,Río Negro,111.495
2020,4,Salta,203.833
2020,4,San Juan,33.755
2020,4,San Luis,45.791
2020,4,Santa Cruz,44.340
2020,4,Santa Fe,684.675
2020,4,Santiago Del Estero,92.329
2020,4,Tierra Del Fuego,42.442
2020,4,Tucumán,111.110
2020,3,Buenos Aires,2.952.288
2020,3,Capital Federal,741.443
2020,3,Catamarca,40.786
2020,3,Chaco,119.932
2020,3,Chubut,65.855
2020,3,Córdoba,1.093.908
2020,3,Corrientes,114.038
2020,3,Entre Ríos,235.140
2020,3,Formosa,60.169
2020,3,Jujuy,109.266
2020,3,La Pampa,79.243
2020,3,La Rioja,19.678
2020,3,Mendoza,104.996
2020,3,Misiones,137.953
2020,3,Neuquén,80.161
2020,3,Río Negro,112.475
2020,3,Salta,203.833
2020,3,San Juan,33.664
2020,3,San Luis,45.793
2020,3,Santa Cruz,44.577
2020,3,Santa Fe,690.129
2020,3,Santiago Del Estero,91.593
2020,3,Tierra Del Fuego,42.403
2020,3,Tucumán,110.110
2020,2,Buenos Aires,2.915.498
2020,2,Capital Federal,738.178
2020,2,Catamarca,40.214
2020,2,Chaco,117.601
2020,2,Chubut,64.113
2020,2,Córdoba,1.098.162
2020,2,Corrientes,111.516
2020,2,Entre Ríos,218.562
2020,2,Formosa,59.290
2020,2,Jujuy,97.761
2020,2,La Pampa,80.878
2020,2,La Rioja,19.297
2020,2,Mendoza,102.654
2020,2,Misiones,142.174
2020,2,Neuquén,79.434
2020,2,Río Negro,111.595
2020,2,Salta,202.609
2020,2,San Juan,33.129
2020,2,San Luis,45.905
2020,2,Santa Cruz,43.719
2020,2,Santa Fe,672.663
2020,2,Santiago Del Estero,90.102
2020,2,Tierra Del Fuego,41.920
2020,2,Tucumán,97.161
2020,1,Buenos Aires,2.955.174
2020,1,Capital Federal,741.539
2020,1,Catamarca,39.338
2020,1,Chaco,114.564
2020,1,Chubut,67.422
2020,1,Córdoba,1.062.830
2020,1,Corrientes,110.100
2020,1,Entre Ríos,220.527
2020,1,Formosa,59.239
2020,1,Jujuy,97.650
2020,1,La Pampa,79.897
2020,1,La Rioja,18.853
2020,1,Mendoza,103.132
2020,1,Misiones,143.352
2020,1,Neuquén,78.339
2020,1,Río Negro,109.833
2020,1,Salta,187.051
2020,1,San Juan,30.303
2020,1,San Luis,47.659
2020,1,Santa Cruz,43.321
2020,1,Santa Fe,670.943
2020,1,Santiago Del Estero,88.946
2020,1,Tierra Del Fuego,41.493
2020,1,Tucumán,110.406
2019,4,Buenos Aires,2.824.205
2019,4,Capital Federal,896.441
2019,4,Catamarca,41.031
2019,4,Chaco,114.313
2019,4,Chubut,69.894
2019,4,Córdoba,1.113.585
2019,4,Corrientes,109.763
2019,4,Entre Ríos,220.415
2019,4,Formosa,59.153
2019,4,Jujuy,95.103
2019,4,La Pampa,81.047
2019,4,La Rioja,18.979
2019,4,Mendoza,102.375
2019,4,Misiones,144.435
2019,4,Neuquén,76.801
2019,4,Río Negro,110.594
2019,4,Salta,189.127
2019,4,San Juan,29.520
2019,4,San Luis,48.422
2019,4,Santa Cruz,47.954
2019,4,Santa Fe,658.150
2019,4,Santiago Del Estero,89.885
2019,4,Tierra Del Fuego,41.577
2019,4,Tucumán,113.416
2019,3,Buenos Aires,2.737.691
2019,3,Capital Federal,862.488
2019,3,Catamarca,40.830
2019,3,Chaco,111.542
2019,3,Chubut,70.308
2019,3,Córdoba,1.104.134
2019,3,Corrientes,109.035
2019,3,Entre Ríos,216.331
2019,3,Formosa,59.066
2019,3,Jujuy,91.428
2019,3,La Pampa,82.596
2019,3,La Rioja,20.088
2019,3,Mendoza,103.899
2019,3,Misiones,143.508
2019,3,Neuquén,77.398
2019,3,Río Negro,111.471
2019,3,Salta,188.437
2019,3,San Juan,30.778
2019,3,San Luis,49.555
2019,3,Santa Cruz,48.075
2019,3,Santa Fe,655.582
2019,3,Santiago Del Estero,89.673
2019,3,Tierra Del Fuego,42.866
2019,3,Tucumán,109.911
2019,2,Buenos Aires,2.687.146
2019,2,Capital Federal,810.521
2019,2,Catamarca,33.085
2019,2,Chaco,108.529
2019,2,Chubut,87.680
2019,2,Córdoba,1.063.751
2019,2,Corrientes,108.390
2019,2,Entre Ríos,211.624
2019,2,Formosa,61.107
2019,2,Jujuy,88.550
2019,2,La Pampa,83.122
2019,2,La Rioja,25.887
2019,2,Mendoza,139.687
2019,2,Misiones,141.493
2019,2,Neuquén,79.179
2019,2,Río Negro,108.723
2019,2,Salta,185.491
2019,2,San Juan,43.355
2019,2,San Luis,53.561
2019,2,Santa Cruz,52.539
2019,2,Santa Fe,603.033
2019,2,Santiago Del Estero,108.956
2019,2,Tierra Del Fuego,45.811
2019,2,Tucumán,117.489
2019,1,Buenos Aires,2.687.325
2019,1,Capital Federal,789.185
2019,1,Catamarca,33.116
2019,1,Chaco,107.090
2019,1,Chubut,90.677
2019,1,Córdoba,1.057.252
2019,1,Corrientes,101.354
2019,1,Entre Ríos,210.247
2019,1,Formosa,56.736
2019,1,Jujuy,87.894
2019,1,La Pampa,81.351
2019,1,La Rioja,25.931
2019,1,Mendoza,140.501
2019,1,Misiones,137.541
2019,1,Neuquén,80.031
2019,1,Río Negro,90.118
2019,1,Salta,174.728
2019,1,San Juan,44.083
2019,1,San Luis,53.561
2019,1,Santa Cruz,56.833
2019,1,Santa Fe,599.988
2019,1,Santiago Del Estero,109.220
2019,1,Tierra Del Fuego,45.852
2019,1,Tucumán,118.638
2018,4,Buenos Aires,2.670.842
2018,4,Capital Federal,750.996
2018,4,Catamarca,33.545
2018,4,Chaco,99.927
2018,4,Chubut,90.602
2018,4,Córdoba,1.056.763
2018,4,Corrientes,102.243
2018,4,Entre Ríos,208.263
2018,4,Formosa,58.868
2018,4,Jujuy,98.704
2018,4,La Pampa,81.403
2018,4,La Rioja,24.839
2018,4,Mendoza,117.382
2018,4,Misiones,137.821
2018,4,Neuquén,80.025
2018,4,Río Negro,91.252
2018,4,Salta,176.841
2018,4,San Juan,43.605
2018,4,San Luis,55.183
2018,4,Santa Cruz,56.941
2018,4,Santa Fe,599.124
2018,4,Santiago Del Estero,105.239
2018,4,Tierra Del Fuego,46.184
2018,4,Tucumán,125.380
2018,3,Buenos Aires,2.698.193
2018,3,Capital Federal,755.552
2018,3,Catamarca,83.185
2018,3,Chaco,99.165
2018,3,Chubut,89.855
2018,3,Córdoba,1.077.148
2018,3,Corrientes,101.211
2018,3,Entre Ríos,206.993
2018,3,Formosa,59.888
2018,3,Jujuy,91.767
2018,3,La Pampa,83.258
2018,3,La Rioja,24.018
2018,3,Mendoza,117.513
2018,3,Misiones,135.350
2018,3,Neuquén,80.391
2018,3,Río Negro,95.213
2018,3,Salta,176.000
2018,3,San Juan,45.075
2018,3,San Luis,55.302
2018,3,Santa Cruz,56.779
2018,3,Santa Fe,630.700
2018,3,Santiago Del Estero,108.875
2018,3,Tierra Del Fuego,46.296
2018,3,Tucumán,125.823
2018,2,Buenos Aires,2.662.857
2018,2,Capital Federal,742.742
2018,2,Catamarca,78.493
2018,2,Chaco,108.493
2018,2,Chubut,74.729
2018,2,Córdoba,1.114.481
2018,2,Corrientes,100.369
2018,2,Entre Ríos,211.237
2018,2,Formosa,52.060
2018,2,Jujuy,89.913
2018,2,La Pampa,82.552
2018,2,La Rioja,22.865
2018,2,Mendoza,89.146
2018,2,Misiones,134.960
2018,2,Neuquén,78.776
2018,2,Río Negro,87.667
2018,2,Salta,169.029
2018,2,San Juan,47.920
2018,2,San Luis,57.243
2018,2,Santa Cruz,53.338
2018,2,Santa Fe,615.398
2018,2,Santiago Del Estero,96.384
2018,2,Tierra Del Fuego,41.093
2018,2,Tucumán,119.017
2018,1,Buenos Aires,2.654.174
2018,1,Capital Federal,741.516
2018,1,Catamarca,89.005
2018,1,Chaco,109.742
2018,1,Chubut,72.825
2018,1,Córdoba,1.104.478
2018,1,Corrientes,105.865
2018,1,Entre Ríos,210.310
2018,1,Formosa,52.510
2018,1,Jujuy,88.658
2018,1,La Pampa,83.823
2018,1,La Rioja,23.758
2018,1,Mendoza,88.337
2018,1,Misiones,134.351
2018,1,Neuquén,77.047
2018,1,Río Negro,90.018
2018,1,Salta,175.454
2018,1,San Juan,37.444
2018,1,San Luis,61.967
2018,1,Santa Cruz,53.152
2018,1,Santa Fe,623.481
2018,1,Santiago Del Estero,96.378
2018,1,Tierra Del Fuego,40.301
2018,1,Tucumán,117.582
2017,4,Buenos Aires,2.656.799
2017,4,Capital Federal,740.372
2017,4,Catamarca,29.391
2017,4,Chaco,101.423
2017,4,Chubut,71.048
2017,4,Córdoba,1.040.718
2017,4,Corrientes,105.842
2017,4,Entre Ríos,209.564
2017,4,Formosa,49.087
2017,4,Jujuy,87.008
2017,4,La Pampa,84.075
2017,4,La Rioja,23.707
2017,4,Mendoza,113.934
2017,4,Misiones,133.485
2017,4,Neuquén,77.174
2017,4,Río Negro,90.862
2017,4,Salta,176.445
2017,4,San Juan,39.494
2017,4,San Luis,62.682
2017,4,Santa Cruz,50.206
2017,4,Santa Fe,628.931
2017,4,Santiago del Estero,96.330
2017,4,Tierra del Fuego,40.083
2017,4,Tucumán,117.365
2017,3,Buenos Aires,2.571.840
2017,3,Capital Federal,707.800
2017,3,Catamarca,40.773
2017,3,Chaco,90.293
2017,3,Chubut,70.166
2017,3,Córdoba,1.024.289
2017,3,Corrientes,93.730
2017,3,Entre Ríos,165.363
2017,3,Formosa,49.376
2017,3,Jujuy,84.664
2017,3,La Pampa,99.694
2017,3,La Rioja,23.965
2017,3,Mendoza,113.715
2017,3,Misiones,125.110
2017,3,Neuquén,109.995
2017,3,Río Negro,57.889
2017,3,Salta,254.908
2017,3,San Juan,39.530
2017,3,San Luis,62.617
2017,3,Santa Cruz,47.927
2017,3,Santa Fe,615.939
2017,3,Santiago del Estero,97.936
2017,3,Tierra del Fuego,39.928
2017,3,Tucumán,179.573
2017,2,Buenos Aires,2.580.455
2017,2,Capital Federal,708.949
2017,2,Catamarca,40.448
2017,2,Chaco,91.455
2017,2,Chubut,72.663
2017,2,Córdoba,1.019.606
2017,2,Corrientes,93.029
2017,2,Entre Ríos,162.496
2017,2,Formosa,47.888
2017,2,Jujuy,84.568
2017,2,La Pampa,99.285
2017,2,La Rioja,24.114
2017,2,Mendoza,113.243
2017,2,Misiones,123.028
2017,2,Neuquén,110.681
2017,2,Río Negro,58.240
2017,2,Salta,256.395
2017,2,San Juan,40.621
2017,2,San Luis,54.893
2017,2,Santa Cruz,50.140
2017,2,Santa Fe,618.927
2017,2,Santiago del Estero,97.231
2017,2,Tierra del Fuego,38.896
2017,2,Tucumán,179.233
2017,1,Buenos Aires,2.572.848
2017,1,Capital Federal,708.805
2017,1,Catamarca,29.655
2017,1,Chaco,87.920
2017,1,Chubut,72.838
2017,1,Córdoba,1.022.544
2017,1,Corrientes,93.332
2017,1,Entre Ríos,160.444
2017,1,Formosa,48.699
2017,1,Jujuy,84.116
2017,1,La Pampa,101.390
2017,1,La Rioja,24.415
2017,1,Mendoza,116.672
2017,1,Misiones,123.346
2017,1,Neuquén,110.781
2017,1,Río Negro,52.481
2017,1,Salta,171.113
2017,1,San Juan,40.819
2017,1,San Luis,57.104
2017,1,Santa Cruz,50.321
2017,1,Santa Fe,612.749
2017,1,Santiago del Estero,97.561
2017,1,Tierra del Fuego,38.724
2017,1,Tucumán,124.655
2016,4,Buenos Aires,2.535.921
2016,4,Capital Federal,712.478
2016,4,Catamarca,30.124
2016,4,Chaco,88.363
2016,4,Chubut,72.721
2016,4,Córdoba,1.009.280
2016,4,Corrientes,93.490
2016,4,Entre Ríos,155.923
2016,4,Formosa,46.293
2016,4,Jujuy,81.754
2016,4,La Pampa,100.574
2016,4,La Rioja,25.719
2016,4,Mendoza,116.997
2016,4,Misiones,123.220
2016,4,Neuquén,110.825
2016,4,Río Negro,54.014
2016,4,Salta,172.942
2016,4,San Juan,39.847
2016,4,San Luis,54.337
2016,4,Santa Cruz,50.923
2016,4,Santa Fe,617.120
2016,4,Santiago del Estero,98.021
2016,4,Tierra del Fuego,38.707
2016,4,Tucumán,124.208
2016,3,Buenos Aires,2.521.023
2016,3,Capital Federal,716.755
2016,3,Catamarca,29.763
2016,3,Chaco,90.191
2016,3,Chubut,72.693
2016,3,Córdoba,1.011.257
2016,3,Corrientes,92.783
2016,3,Entre Ríos,155.482
2016,3,Formosa,46.371
2016,3,Jujuy,84.547
2016,3,La Pampa,90.884
2016,3,La Rioja,24.599
2016,3,Mendoza,116.331
2016,3,Misiones,122.505
2016,3,Neuquén,110.917
2016,3,Río Negro,54.503
2016,3,Salta,172.479
2016,3,San Juan,42.357
2016,3,San Luis,54.078
2016,3,Santa Cruz,51.191
2016,3,Santa Fe,614.627
2016,3,Santiago del Estero,99.070
2016,3,Tierra del Fuego,38.592
2016,3,Tucumán,125.384
2016,2,Buenos Aires,2.516.810
2016,2,Capital Federal,717.928
2016,2,Catamarca,29.641
2016,2,Chaco,94.320
2016,2,Chubut,72.833
2016,2,Córdoba,1.005.624
2016,2,Corrientes,92.714
2016,2,Entre Ríos,155.110
2016,2,Formosa,46.382
2016,2,Jujuy,85.293
2016,2,La Pampa,89.647
2016,2,La Rioja,24.385
2016,2,Mendoza,116.159
2016,2,Misiones,122.257
2016,2,Neuquén,111.025
2016,2,Río Negro,54.753
2016,2,Salta,174.345
2016,2,San Juan,42.414
2016,2,San Luis,53.963
2016,2,Santa Cruz,51.724
2016,2,Santa Fe,615.206
2016,2,Santiago del Estero,99.076
2016,2,Tierra del Fuego,38.086
2016,2,Tucumán,124.686
2016,1,Buenos Aires,2.503.121
2016,1,Capital Federal,720.018
2016,1,Catamarca,29.207
2016,1,Chaco,91.403
2016,1,Chubut,68.242
2016,1,Córdoba,998.906
2016,1,Corrientes,92.425
2016,1,Entre Ríos,154.253
2016,1,Formosa,46.370
2016,1,Jujuy,84.849
2016,1,La Pampa,89.605
2016,1,La Rioja,24.225
2016,1,Mendoza,116.180
2016,1,Misiones,121.064
2016,1,Neuquén,111.050
2016,1,Río Negro,54.900
2016,1,Salta,170.519
2016,1,San Juan,42.207
2016,1,San Luis,54.984
2016,1,Santa Cruz,54.419
2016,1,Santa Fe,610.811
2016,1,Santiago del Estero,98.890
2016,1,Tierra del Fuego,38.875
2016,1,Tucumán,129.189
2015,4,Buenos Aires,2.504.956
2015,4,Capital Federal,716.866
2015,4,Catamarca,29.356
2015,4,Chaco,90.819
2015,4,Chubut,68.847
2015,4,Córdoba,994.334
2015,4,Corrientes,94.401
2015,4,Entre Ríos,154.461
2015,4,Formosa,46.385
2015,4,Jujuy,86.586
2015,4,La Pampa,87.160
2015,4,La Rioja,25.151
2015,4,Mendoza,116.883
2015,4,Misiones,119.199
2015,4,Neuquén,111.106
2015,4,Río Negro,56.550
2015,4,Salta,172.954
2015,4,San Juan,44.239
2015,4,San Luis,54.524
2015,4,Santa Cruz,55.004
2015,4,Santa Fe,613.513
2015,4,Santiago del Estero,99.921
2015,4,Tierra del Fuego,37.687
2015,4,Tucumán,125.200
2015,3,Buenos Aires,2.505.777
2015,3,Capital Federal,715.814
2015,3,Catamarca,29.089
2015,3,Chaco,92.709
2015,3,Chubut,68.820
2015,3,Córdoba,986.247
2015,3,Corrientes,92.364
2015,3,Entre Ríos,153.615
2015,3,Formosa,46.414
2015,3,Jujuy,85.777
2015,3,La Pampa,86.107
2015,3,La Rioja,25.779
2015,3,Mendoza,117.481
2015,3,Misiones,118.527
2015,3,Neuquén,111.307
2015,3,Río Negro,57.112
2015,3,Salta,170.310
2015,3,San Juan,43.576
2015,3,San Luis,54.728
