Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2022,1,Santiago del Estero,67.503,60.303,5.867,251,1.082
2022,1,Tierra del Fuego,17.966,16.050,1.561,67,288
2022,1,Tucumán,184.951,165.226,16.074,686,2.965
2021,4,Buenos Aires,3.313.370,3.012.453,234.051,14.886,51.980
2021,4,Capital Federal,1.439.097,1.308.400,101.656,6.465,22.576
2021,4,Catamarca,29.635,26.944,2.093,133,465
2021,4,Chaco,90.829,82.580,6.416,408,1.425
2021,4,Chubut,68.209,62.015,4.818,306,1.070
2021,4,Córdoba,583.715,530.703,41.233,2.622,9.157
2021,4,Corrientes,97.971,89.073,6.921,440,1.537
2021,4,Entre Ríos,207.536,188.688,14.660,932,3.256
2021,4,Formosa,36.411,33.104,2.572,164,571
2021,4,Jujuy,44.258,40.239,3.126,199,694
2021,4,La Pampa,71.751,65.235,5.068,322,1.126
2021,4,La Rioja,26.765,24.334,1.891,120,420
2021,4,Mendoza,204.522,185.947,14.447,919,3.209
2021,4,Misiones,98.622,89.666,6.966,443,1.547
2021,4,Neuquén,72.616,66.022,5.129,326,1.139
2021,4,Río Negro,86.287,78.450,6.095,388,1.354
2021,4,Salta,120.291,109.367,8.497,540,1.887
2021,4,San Juan,66.631,60.580,4.707,299,1.045
2021,4,San Luis,33.020,30.022,2.332,148,518
2021,4,Santa Cruz,27.740,25.220,1.960,125,435
2021,4,Santa Fe,655.796,596.238,46.324,2.946,10.288
2021,4,Santiago del Estero,66.649,60.596,4.708,299,1.046
2021,4,Tierra del Fuego,18.937,17.217,1.338,85,297
2021,4,Tucumán,165.702,150.653,11.705,744,2.600
2021,3,Buenos Aires,3.164.518,2.852.029,242.423,15.465,54.601
2021,3,Capital Federal,1.367.485,1.232.448,104.759,6.683,23.595
2021,3,Catamarca,24.683,22.245,1.891,121,426
2021,3,Chaco,73.770,66.485,5.651,361,1.273
2021,3,Chubut,73.086,65.869,5.599,357,1.261
2021,3,Córdoba,484.017,436.222,37.079,2.365,8.351
2021,3,Corrientes,78.053,70.346,5.979,381,1.347
2021,3,Entre Ríos,164.023,147.826,12.565,802,2.830
2021,3,Formosa,30.471,27.462,2.334,149,526
2021,3,Jujuy,35.160,31.688,2.693,172,607
2021,3,La Pampa,71.728,64.644,5.495,351,1.238
2021,3,La Rioja,21.614,19.479,1.656,106,373
2021,3,Mendoza,196.028,176.671,15.017,958,3.382
2021,3,Misiones,78.868,71.080,6.042,385,1.361
2021,3,Neuquén,74.203,66.876,5.684,363,1.280
2021,3,Río Negro,83.724,75.456,6.414,409,1.445
2021,3,Salta,93.818,84.554,7.187,458,1.619
2021,3,San Juan,74.837,67.447,5.733,366,1.291
2021,3,San Luis,34.431,31.031,2.638,168,594
2021,3,Santa Cruz,26.961,24.299,2.065,132,465
2021,3,Santa Fe,539.814,486.509,41.353,2.638,9.314
2021,3,Santiago del Estero,57.376,51.711,4.395,280,990
2021,3,Tierra del Fuego,21.573,19.443,1.653,105,372
2021,3,Tucumán,133.062,119.923,10.193,650,2.296
2021,2,Buenos Aires,3.313.370,3.012.453,234.051,14.886,51.980
2021,2,Capital Federal,1.439.097,1.308.400,101.656,6.465,22.576
2021,2,Catamarca,29.635,26.944,2.093,133,465
2021,2,Chaco,90.829,82.580,6.416,408,1.425
2021,2,Chubut,68.209,62.015,4.818,306,1.070
2021,2,Córdoba,583.715,530.703,41.233,2.622,9.157
2021,2,Corrientes,97.971,89.073,6.921,440,1.537
2021,2,Entre Ríos,207.536,188.688,14.660,932,3.256
2021,2,Formosa,36.411,33.104,2.572,164,571
2021,2,Jujuy,44.258,40.239,3.126,199,694
2021,2,La Pampa,71.751,65.235,5.068,322,1.126
2021,2,La Rioja,26.765,24.334,1.891,120,420
2021,2,Mendoza,204.522,185.947,14.447,919,3.209
2021,2,Misiones,98.622,89.666,6.966,443,1.547
2021,2,Neuquén,72.616,66.022,5.129,326,1.139
2021,2,Río Negro,86.287,78.450,6.095,388,1.354
2021,2,Salta,120.291,109.367,8.497,540,1.887
2021,2,San Juan,66.631,60.580,4.707,299,1.045
2021,2,San Luis,33.020,30.022,2.332,148,518
2021,2,Santa Cruz,27.740,25.220,1.960,125,435
2021,2,Santa Fe,655.796,596.238,46.324,2.946,10.288
2021,2,Santiago del Estero,66.649,60.596,4.708,299,1.046
2021,2,Tierra del Fuego,18.937,17.217,1.338,85,297
2021,2,Tucumán,165.702,150.653,11.705,744,2.600
2021,1,Buenos Aires,3.203.761,2.874.157,247.958,15.146,66.500
2021,1,Capital Federal,1.395.627,1.252.044,108.016,6.598,28.969
2021,1,Catamarca,26.597,23.860,2.059,126,552
2021,1,Chaco,75.834,68.032,5.869,359,1.574
2021,1,Chubut,73.068,65.551,5.655,345,1.517
2021,1,Córdoba,523.748,469.865,40.536,2.476,10.871
2021,1,Corrientes,78.850,70.737,6.103,373,1.637
2021,1,Entre Ríos,168.446,151.117,13.037,796,3.496
2021,1,Formosa,31.265,28.048,2.420,148,649
2021,1,Jujuy,42.953,38.534,3.324,203,892
2021,1,La Pampa,71.152,63.832,5.507,336,1.477
