Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2021,3,San Luis,676,2.362
2021,3,Santa Cruz,734,2.468
2021,3,Santa Fe,1.525,4.848
2021,3,Santiago del Estero,585,2.359
2021,3,Tierra del Fuego,1.239,4.179
2021,3,Tucumán,784,3.164
2021,4,Buenos Aires,1.881,5.667
2021,4,Capital Federal,4.677,11.299
2021,4,Catamarca,711,2.794
2021,4,Chaco,751,2.810
2021,4,Chubut,1.094,3.571
2021,4,Córdoba,1.546,5.049
2021,4,Corrientes,871,3.308
2021,4,Entre Ríos,1.492,4.989
2021,4,Formosa,600,2.356
2021,4,Jujuy,572,2.235
2021,4,La Pampa,1.995,6.055
2021,4,La Rioja,676,2.541
2021,4,Mendoza,1.023,3.667
2021,4,Misiones,778,2.858
2021,4,Neuquén,1.088,3.655
2021,4,Río Negro,1.148,3.733
2021,4,Salta,840,3.469
2021,4,San Juan,849,3.334
2021,4,San Luis,646,2.258
2021,4,Santa Cruz,751,2.523
2021,4,Santa Fe,1.849,5.879
2021,4,Santiago del Estero,678,2.734
2021,4,Tierra del Fuego,1.081,3.646
2021,4,Tucumán,973,3.928
2022,1,Buenos Aires,1.751,5.312
2022,1,Capital Federal,4.659,11.215
2022,1,Catamarca,728,2.862
2022,1,Chaco,707,2.643
2022,1,Chubut,993,3.239
2022,1,Córdoba,1.544,5.043
2022,1,Corrientes,796,3.022
2022,1,Entre Ríos,1.372,4.590
2022,1,Formosa,560,2.202
2022,1,Jujuy,634,2.479
2022,1,La Pampa,1.920,5.827
2022,1,La Rioja,702,2.635
2022,1,Mendoza,825,2.956
2022,1,Misiones,727,2.668
2022,1,Neuquén,996,3.345
2022,1,Río Negro,959,3.117
2022,1,Salta,769,3.174
2022,1,San Juan,806,3.165
2022,1,San Luis,594,2.076
2022,1,Santa Cruz,655,2.202
2022,1,Santa Fe,1.782,5.667
2022,1,Santiago del Estero,692,2.790
2022,1,Tierra del Fuego,1.044,3.523
2022,1,Tucumán,1.096,4.423
2022,2,Buenos Aires,1.298,3.929
2022,2,Capital Federal,3.284,7.915
2022,2,Catamarca,653,2.569
2022,2,Chaco,566,2.117
2022,2,Chubut,950,3.099
2022,2,Córdoba,1.293,4.223
2022,2,Corrientes,811,3.078
2022,2,Entre Ríos,1.168,3.905
2022,2,Formosa,580,2.280
2022,2,Jujuy,487,1.903
2022,2,La Pampa,1.902,5.774
2022,2,La Rioja,669,2.515
2022,2,Mendoza,693,2.483
2022,2,Misiones,608,2.231
2022,2,Neuquén,1.068,3.588
2022,2,Río Negro,878,2.855
2022,2,Salta,632,2.608
2022,2,San Juan,776,3.047
2022,2,San Luis,500,1.746
2022,2,Santa Cruz,634,2.131
2022,2,Santa Fe,1.445,4.596
2022,2,Santiago del Estero,643,2.590
2022,2,Tierra del Fuego,1.105,3.726
2022,2,Tucumán,997,4.025
2022,3,Buenos Aires,1.774,5.356
2022,3,Capital Federal,5.097,12.300
2022,3,Catamarca,616,2.423
2022,3,Chaco,543,2.033
2022,3,Chubut,946,3.085
2022,3,Córdoba,1.293,4.222
2022,3,Corrientes,802,3.044
2022,3,Entre Ríos,1.133,3.788
2022,3,Formosa,582,2.286
2022,3,Jujuy,466,1.823
2022,3,La Pampa,1.845,5.599
2022,3,La Rioja,645,2.424
2022,3,Mendoza,694,2.489
2022,3,Misiones,606,2.226
2022,3,Neuquén,1.098,3.689
2022,3,Río Negro,869,2.826
2022,3,Salta,615,2.539
2022,3,San Juan,774,3.039
2022,3,San Luis,498,1.741
2022,3,Santa Cruz,621,2.087
2022,3,Santa Fe,1.406,4.470
2022,3,Santiago del Estero,639,2.575
2022,3,Tierra del Fuego,1.098,3.704
2022,3,Tucumán,964,3.894
2022,4,Buenos Aires,1.776,5.350
2022,4,Capital Federal,5.080,12.273
2022,4,Catamarca,602,2.365
2022,4,Chaco,535,2.001
2022,4,Chubut,870,2.840
2022,4,Córdoba,1.311,4.282
2022,4,Corrientes,791,3.006
2022,4,Entre Ríos,1.151,3.850
2022,4,Formosa,579,2.277
2022,4,Jujuy,460,1.801
2022,4,La Pampa,1.845,5.599
2022,4,La Rioja,647,2.429
2022,4,Mendoza,815,2.921
2022,4,Misiones,603,2.212
2022,4,Neuquén,1.029,3.457
2022,4,Río Negro,896,2.914
2022,4,Salta,603,2.491
2022,4,San Juan,673,2.642
2022,4,San Luis,542,1.895
2022,4,Santa Cruz,622,2.091
2022,4,Santa Fe,1.383,4.397
2022,4,Santiago del Estero,661,2.662
2022,4,Tierra del Fuego,847,2.856
2022,4,Tucumán,956,3.860
