Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2015,3,Catamarca,987,3.881
2015,3,Chaco,936,3.502
2015,3,Chubut,1.936,6.315
2015,3,Córdoba,2.036,6.650
2015,3,Corrientes,1.034,3.925
2015,3,Entre Ríos,1.777,5.944
2015,3,Formosa,721,2.831
2015,3,Jujuy,779,3.045
2015,3,La Pampa,2.289,6.947
2015,3,La Rioja,1.049,3.939
2015,3,Mendoza,1.897,6.797
2015,3,Misiones,950,3.487
2015,3,Neuquén,1.590,5.341
2015,3,Río Negro,1.911,6.212
2015,3,Salta,1.056,4.359
2015,3,San Juan,1.395,5.477
2015,3,San Luis,1.112,3.884
2015,3,Santa Cruz,1.864,6.262
2015,3,Santa Fe,2.254,7.168
2015,3,Santiago del Estero,744,2.997
2015,3,Tierra del Fuego,2.297,7.747
2015,3,Tucumán,1.337,5.398
2015,4,Buenos Aires,2.817,8.865
2015,4,Capital Federal,5.145,12.124
2015,4,Catamarca,985,3.874
2015,4,Chaco,900,3.367
2015,4,Chubut,1.943,6.337
2015,4,Córdoba,2.013,6.575
2015,4,Corrientes,1.001,3.803
2015,4,Entre Ríos,1.724,5.767
2015,4,Formosa,715,2.808
2015,4,Jujuy,779,3.045
2015,4,La Pampa,2.315,7.027
2015,4,La Rioja,1.043,3.917
2015,4,Mendoza,1.906,6.831
2015,4,Misiones,935,3.431
2015,4,Neuquén,1.737,5.834
2015,4,Río Negro,1.922,6.247
2015,4,Salta,1.052,4.345
2015,4,San Juan,1.406,5.519
2015,4,San Luis,1.107,3.867
2015,4,Santa Cruz,1.632,5.485
2015,4,Santa Fe,2.224,7.073
2015,4,Santiago del Estero,735,2.962
2015,4,Tierra del Fuego,2.306,7.777
2015,4,Tucumán,1.335,5.387
2016,1,Buenos Aires,2.904,9.120
2016,1,Capital Federal,5.262,12.337
2016,1,Catamarca,968,3.805
2016,1,Chaco,886,3.316
2016,1,Chubut,2.136,6.967
2016,1,Córdoba,1.956,6.387
2016,1,Corrientes,947,3.597
2016,1,Entre Ríos,1.677,5.610
2016,1,Formosa,706,2.773
2016,1,Jujuy,769,3.007
2016,1,La Pampa,2.415,7.330
2016,1,La Rioja,1.018,3.823
2016,1,Mendoza,2.006,7.188
2016,1,Misiones,960,3.526
2016,1,Neuquén,1.627,5.466
2016,1,Río Negro,2.064,6.709
2016,1,Salta,1.035,4.275
2016,1,San Juan,1.532,6.016
2016,1,San Luis,1.119,3.911
2016,1,Santa Cruz,1.447,4.861
2016,1,Santa Fe,2.172,6.906
2016,1,Santiago del Estero,690,2.779
2016,1,Tierra del Fuego,2.511,8.469
2016,1,Tucumán,1.317,5.316
2016,2,Buenos Aires,2.922,9.158
2016,2,Capital Federal,5.166,12.127
2016,2,Catamarca,963,3.785
2016,2,Chaco,892,3.337
2016,2,Chubut,2.000,6.524
2016,2,Córdoba,1.952,6.375
2016,2,Corrientes,949,3.603
2016,2,Entre Ríos,1.688,5.644
2016,2,Formosa,697,2.740
2016,2,Jujuy,766,2.996
